# Program:featureCounts v2.0.1; Command:"featureCounts" "-O" "-t" "transcript" "-g" "gene_id" "-a" "11.AssemblyRNA/cpalmiol.gtf" "-o" "counts.txt" "10.Mapping.RNA/cpalmiol_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	10.Mapping.RNA/cpalmiol_sorted.bam
cpalmiol.459	tig00000015	99457	105491	-	6035	7773
cpalmiol.460	tig00000015	107852	109853	.	2002	25935
cpalmiol.461	tig00000015	110106	113170	.	3065	12276
cpalmiol.462	tig00000015	113481	115122	.	1642	4101
cpalmiol.463	tig00000015	115396	119815	.	4420	13089
cpalmiol.464	tig00000015	124121	125809	.	1689	27746
cpalmiol.465	tig00000015	128220	129754	.	1535	117
cpalmiol.466	tig00000015	130557	131455	+	899	47683
cpalmiol.467	tig00000015	135387	138183	-	2797	8066
cpalmiol.468	tig00000015	140721	141272	.	552	9153
cpalmiol.469	tig00000015	141691	145187	.	3497	9600
cpalmiol.470	tig00000015	151718	152576	.	859	3846
cpalmiol.471	tig00000015	156793	168781	.	11989	34868
cpalmiol.472	tig00000015	170464	173959	.	3496	26417
cpalmiol.473	tig00000015	175418	180685	.	5268	16119
cpalmiol.474	tig00000015	182778	183473	.	696	3594
cpalmiol.475	tig00000015	191369	194256	.	2888	4713
cpalmiol.476	tig00000015	195514	196662	.	1149	8878
cpalmiol.477	tig00000015	197203	197906	.	704	28534
cpalmiol.478	tig00000015	204531	206417	.	1887	3995
cpalmiol.479	tig00000015	220212	232409	.	12198	45869
cpalmiol.480	tig00000015	232636	239606	.	6971	15817
cpalmiol.481	tig00000015	240567	245835	.	5269	4638
cpalmiol.482	tig00000015	253272	254422	.	1151	11146
cpalmiol.483	tig00000015	256322	257092	.	771	13280
cpalmiol.484	tig00000015	265526	268984	.	3459	50924
cpalmiol.485	tig00000015	269968	276727	.	6760	16565
cpalmiol.486	tig00000015	277576	278878	.	1303	420
cpalmiol.487	tig00000015	280974	283854	.	2881	32603
cpalmiol.488	tig00000015	285225	296288	.	11064	26043
cpalmiol.489	tig00000015	297453	302345	.	4893	28022
cpalmiol.490	tig00000015	305767	307550	.	1784	24917
cpalmiol.491	tig00000015	307764	309739	.	1976	3241
cpalmiol.492	tig00000015	309969	311703	.	1735	12740
cpalmiol.493	tig00000015	313651	314729	.	1079	9765
cpalmiol.494	tig00000015	316224	317679	+	1456	62265
cpalmiol.495	tig00000015	325109	325586	.	478	21455
cpalmiol.496	tig00000015	326985	327807	-	823	53943
cpalmiol.497	tig00000015	328340	330266	.	1927	45208
cpalmiol.498	tig00000015	331267	338144	.	6878	8434
cpalmiol.499	tig00000015	338434	343423	.	4990	18503
cpalmiol.500	tig00000015	343984	344637	-	654	9327
cpalmiol.501	tig00000015	344714	346427	+	1714	4645
cpalmiol.502	tig00000015	346953	348648	+	1696	7471
cpalmiol.503	tig00000015	349913	352460	.	2548	27335
cpalmiol.504	tig00000015	353334	381096	.	27763	96362
cpalmiol.505	tig00000015	386681	387318	.	638	11259
cpalmiol.506	tig00000015	389955	392121	.	2167	267
cpalmiol.507	tig00000015	396621	397942	.	1322	75
cpalmiol.508	tig00000015	398371	399111	.	741	1236
cpalmiol.509	tig00000015	399327	402829	.	3503	7471
cpalmiol.510	tig00000015	404176	404835	+	660	3553
cpalmiol.511	tig00000015	405051	405907	.	857	22416
cpalmiol.512	tig00000015	411821	413557	.	1737	3389
cpalmiol.513	tig00000015	414918	418709	.	3792	12889
cpalmiol.514	tig00000015	420557	422402	.	1846	13556
cpalmiol.515	tig00000015	422706	424279	.	1574	54884
cpalmiol.516	tig00000015	426154	428596	.	2443	193075
cpalmiol.517	tig00000015	436139	437736	.	1598	8648
cpalmiol.518	tig00000015	437964	442143	.	4180	10253
cpalmiol.519	tig00000015;tig00000015	442350;459011	461656;459674	.;.	19307	33729
cpalmiol.520	tig00000015	463605	465628	.	2024	2130
cpalmiol.521	tig00000015	465836	475364	.	9529	30169
cpalmiol.522	tig00000015	483779	484657	.	879	48
cpalmiol.523	tig00000015	484901	494893	.	9993	12719
cpalmiol.524	tig00000015	496768	499240	.	2473	17811
cpalmiol.525	tig00000015	499727	504421	.	4695	3148
cpalmiol.526	tig00000015	504941	513369	.	8429	16287
cpalmiol.527	tig00000015	516118	517819	.	1702	23005
cpalmiol.528	tig00000015	518126	520845	.	2720	19283
cpalmiol.529	tig00000015	522248	524625	.	2378	24763
cpalmiol.530	tig00000015	525339	528436	.	3098	20278
cpalmiol.531	tig00000015	529892	536218	.	6327	542
cpalmiol.532	tig00000015	529892	563912	+	34021	23819
cpalmiol.533	tig00000015	536789	537554	.	766	918
cpalmiol.534	tig00000015	565990	568392	+	2403	27539
cpalmiol.535	tig00000015	575146	578216	.	3071	215901
cpalmiol.536	tig00000015	578461	580673	.	2213	269
cpalmiol.537	tig00000015	581012	600848	.	19837	24290
cpalmiol.538	tig00000015	607026	608794	-	1769	23314
cpalmiol.539	tig00000015	608947	617741	-	8795	23955
cpalmiol.540	tig00000015	611423	617741	.	6319	20133
cpalmiol.541	tig00000015	617945	619047	.	1103	289000
cpalmiol.542	tig00000015	619871	622298	.	2428	8894
cpalmiol.543	tig00000015	623990	625194	-	1205	1974
cpalmiol.544	tig00000015	629468	630697	.	1230	7766
cpalmiol.545	tig00000015	631959	634083	.	2125	36967
cpalmiol.546	tig00000015	643410	648924	.	5515	10310
cpalmiol.547	tig00000015	651443	657745	.	6303	1278
cpalmiol.548	tig00000015	658474	662827	.	4354	22592
cpalmiol.549	tig00000015	663172	666382	.	3211	5127
cpalmiol.550	tig00000015	676371	681730	+	5360	11841
cpalmiol.551	tig00000015	689015	690073	.	1059	4264
cpalmiol.552	tig00000015	690249	697932	.	7684	36719
cpalmiol.553	tig00000015	698349	700020	.	1672	2521
cpalmiol.554	tig00000015	700241	700492	.	252	54
cpalmiol.555	tig00000015	700879	702196	.	1318	6241
cpalmiol.556	tig00000015	703314	709060	.	5747	8644
cpalmiol.557	tig00000015	709553	714148	.	4596	7280
cpalmiol.558	tig00000015	715525	724867	.	9343	3996
cpalmiol.559	tig00000015	726418	726791	.	374	393
cpalmiol.560	tig00000015	727097	727526	.	430	319
cpalmiol.561	tig00000015	728175	732145	.	3971	11431
cpalmiol.562	tig00000015	745241	748040	+	2800	22339
cpalmiol.563	tig00000015	752020	757662	.	5643	110889
cpalmiol.564	tig00000015	758304	760710	.	2407	10641
cpalmiol.565	tig00000015;tig00000015;tig00000015	766398;767936;767936	769823;769834;769822	-;-;-	3437	29896
cpalmiol.566	tig00000015	770593	774563	.	3971	9371
cpalmiol.567	tig00000015	776746	777353	.	608	2105
cpalmiol.568	tig00000015	779036	781652	.	2617	61212
cpalmiol.569	tig00000015	787001	788356	.	1356	24765
cpalmiol.570	tig00000015	788956	790967	.	2012	7161
cpalmiol.571	tig00000015	793292	799918	+	6627	8117
cpalmiol.572	tig00000015	800119	800810	.	692	5341
cpalmiol.573	tig00000015	807895	809387	.	1493	102975
cpalmiol.574	tig00000015	812726	813648	.	923	37696
cpalmiol.575	tig00000015	814009	815791	.	1783	12763
cpalmiol.576	tig00000015	816702	819049	.	2348	24885
cpalmiol.577	tig00000015	819324	820322	.	999	525
cpalmiol.578	tig00000015	821685	828055	.	6371	31108
cpalmiol.579	tig00000015	828434	837715	+	9282	43030
cpalmiol.580	tig00000015	838092	841905	.	3814	7051
cpalmiol.581	tig00000015	842758	847838	.	5081	38680
cpalmiol.582	tig00000015	851309	854612	.	3304	16223
cpalmiol.583	tig00000015	855312	868030	.	12719	11158
cpalmiol.584	tig00000015	870413	880426	.	10014	11641
cpalmiol.585	tig00000015	880496	883111	.	2616	4423
cpalmiol.586	tig00000015	883338	883815	.	478	1081
cpalmiol.587	tig00000015	884090	884849	+	760	34723
cpalmiol.588	tig00000015	887489	888836	.	1348	7466
cpalmiol.589	tig00000015	890927	897217	.	6291	2269
cpalmiol.590	tig00000015	899239	902952	.	3714	14928
cpalmiol.591	tig00000015	909502	910055	.	554	63216
cpalmiol.592	tig00000015	910266	921343	.	11078	17993
cpalmiol.593	tig00000015	923729	924258	.	530	51
cpalmiol.594	tig00000015	925683	932745	.	7063	43828
cpalmiol.595	tig00000015	927801	932693	+	4893	37684
cpalmiol.596	tig00000015	933652	940658	.	7007	2318
cpalmiol.597	tig00000015	940929	947898	.	6970	21629
cpalmiol.598	tig00000015	948557	949805	.	1249	22034
cpalmiol.599	tig00000015	964918	967571	.	2654	5895
cpalmiol.600	tig00000015	967817	968393	.	577	1207
cpalmiol.601	tig00000015	968742	975368	.	6627	36589
cpalmiol.602	tig00000015	975937	978910	.	2974	25161
cpalmiol.603	tig00000015	979131	980543	.	1413	19982
cpalmiol.604	tig00000015	981383	982302	.	920	73625
cpalmiol.605	tig00000015	993722	996358	.	2637	26826
cpalmiol.606	tig00000015	996532	1000133	.	3602	3268
cpalmiol.607	tig00000015	1000296	1001211	.	916	31686
cpalmiol.608	tig00000015	1001480	1001910	.	431	16116
cpalmiol.609	tig00000015	1003798	1004801	.	1004	32748
cpalmiol.610	tig00000015	1007177	1016886	.	9710	45916
cpalmiol.611	tig00000015	1017104	1018557	.	1454	3367
cpalmiol.612	tig00000015	1019400	1021951	.	2552	1651
cpalmiol.613	tig00000015	1022244	1023397	.	1154	6859
cpalmiol.614	tig00000015	1027715	1030747	.	3033	10297
cpalmiol.615	tig00000015	1031579	1036908	.	5330	32716
cpalmiol.616	tig00000015	1038118	1040956	.	2839	9827
cpalmiol.617	tig00000015	1041570	1042719	.	1150	45869
cpalmiol.618	tig00000015	1043418	1044979	.	1562	39961
cpalmiol.619	tig00000015	1046168	1048221	.	2054	7593
cpalmiol.620	tig00000015	1049055	1049863	.	809	1596
cpalmiol.621	tig00000015	1051437	1053580	.	2144	14497
cpalmiol.622	tig00000015	1053818	1058426	.	4609	10836
cpalmiol.623	tig00000015	1058999	1070177	.	11179	11260
cpalmiol.624	tig00000015	1072135	1073064	+	930	8822
cpalmiol.625	tig00000015	1073639	1074447	.	809	5463
cpalmiol.626	tig00000015	1074674	1077144	.	2471	40240
cpalmiol.627	tig00000015	1077389	1081370	.	3982	9565
cpalmiol.628	tig00000015	1085330	1088301	.	2972	18593
cpalmiol.629	tig00000015	1089091	1093210	.	4120	8994
cpalmiol.630	tig00000015;tig00000015;tig00000015;tig00000015;tig00000015;tig00000015;tig00000015;tig00000015	1094466;1094466;1094466;1094466;1094466;1094466;1094466;1094466	1103528;1103528;1103528;1103528;1103528;1103528;1103528;1103528	+;+;+;+;+;+;+;+	9063	13957
cpalmiol.631	tig00000015	1107243	1109467	.	2225	11886
cpalmiol.632	tig00000015	1109727	1110152	.	426	10289
cpalmiol.633	tig00000015	1114675	1119213	-	4539	10093
cpalmiol.634	tig00000015	1120304	1123127	.	2824	23573
cpalmiol.635	tig00000015	1123424	1124695	.	1272	71327
cpalmiol.636	tig00000015	1129384	1130345	.	962	8844
cpalmiol.637	tig00000015	1130803	1131510	.	708	31170
cpalmiol.638	tig00000015	1134069	1134701	.	633	167102
cpalmiol.639	tig00000015	1135695	1136000	.	306	2232
cpalmiol.640	tig00000015	1136415	1141799	.	5385	42324
cpalmiol.641	tig00000015	1142448	1143569	+	1122	21083
cpalmiol.642	tig00000015	1149963	1155110	.	5148	11592
cpalmiol.643	tig00000015	1158024	1183529	.	25506	45971
cpalmiol.644	tig00000015	1184068	1186433	.	2366	6567
cpalmiol.645	tig00000015	1187830	1188479	+	650	7892
cpalmiol.646	tig00000015	1188820	1189717	.	898	15125
cpalmiol.647	tig00000015	1190274	1192656	.	2383	12537
cpalmiol.648	tig00000015	1192891	1195013	.	2123	4728
cpalmiol.649	tig00000015	1195399	1198932	.	3534	3533
cpalmiol.650	tig00000015	1199361	1205467	.	6107	4761
cpalmiol.651	tig00000015	1205646	1212659	.	7014	7828
cpalmiol.652	tig00000015	1214239	1217784	.	3546	992
cpalmiol.653	tig00000015	1224877	1226220	.	1344	28835
cpalmiol.654	tig00000015	1226382	1231350	.	4969	11247
cpalmiol.655	tig00000015	1231685	1234639	.	2955	1223
cpalmiol.656	tig00000015	1235102	1238514	.	3413	10087
cpalmiol.657	tig00000015	1239442	1243076	.	3635	13543
cpalmiol.658	tig00000015	1243946	1254938	.	10993	19976
cpalmiol.659	tig00000015	1259550	1261924	.	2375	25291
cpalmiol.660	tig00000015	1270348	1270846	.	499	38
cpalmiol.661	tig00000015	1271153	1272691	.	1539	19169
cpalmiol.662	tig00000015;tig00000015	1282774;1282774	1287448;1289314	-;-	6541	25624
cpalmiol.663	tig00000015	1296311	1297128	.	818	19934
cpalmiol.664	tig00000015	1298606	1299640	.	1035	7421
cpalmiol.665	tig00000015	1299937	1303866	.	3930	8584
cpalmiol.666	tig00000015	1301851	1304012	-	2162	6951
cpalmiol.667	tig00000015	1304025	1304547	+	523	1586
cpalmiol.668	tig00000015	1304859	1310738	.	5880	9183
cpalmiol.669	tig00000015	1312842	1314368	.	1527	10460
cpalmiol.670	tig00000015	1314734	1316128	.	1395	9336
cpalmiol.671	tig00000015	1317982	1320182	.	2201	9959
cpalmiol.672	tig00000015	1321152	1322842	.	1691	139750
cpalmiol.673	tig00000015	1323001	1324405	.	1405	5108
cpalmiol.674	tig00000015	1325750	1328424	.	2675	1190
cpalmiol.675	tig00000015	1329837	1334274	.	4438	6707
cpalmiol.676	tig00000015	1334535	1344026	.	9492	15807
cpalmiol.677	tig00000015	1347217	1348026	.	810	4625
cpalmiol.678	tig00000015	1348518	1353309	+	4792	2985
cpalmiol.679	tig00000015	1353627	1355569	.	1943	6796
cpalmiol.680	tig00000015	1355867	1364070	.	8204	60273
cpalmiol.681	tig00000015	1364361	1368640	-	4280	22875
cpalmiol.682	tig00000015	1369552	1372948	.	3397	16927
cpalmiol.683	tig00000015	1383431	1386229	.	2799	28072
cpalmiol.684	tig00000015	1383431	1388072	+	4642	33640
cpalmiol.685	tig00000015	1389860	1393406	.	3547	21516
cpalmiol.686	tig00000015	1395440	1398668	.	3229	16245
cpalmiol.687	tig00000015	1400012	1404351	.	4340	5722
cpalmiol.688	tig00000015	1408854	1409221	.	368	18519
cpalmiol.689	tig00000015	1409437	1411693	.	2257	17225
cpalmiol.690	tig00000015	1417954	1423072	.	5119	18479
cpalmiol.691	tig00000015	1426408	1431118	.	4711	4618
cpalmiol.692	tig00000015	1431440	1433546	.	2107	6620
cpalmiol.693	tig00000015	1438912	1440541	.	1630	15989
cpalmiol.694	tig00000015	1449382	1455921	.	6540	27787
cpalmiol.695	tig00000015	1460584	1461110	.	527	3124
cpalmiol.696	tig00000015	1461385	1464619	.	3235	2472
cpalmiol.697	tig00000015	1464775	1466322	.	1548	44584
cpalmiol.698	tig00000015	1468194	1468779	.	586	39709
cpalmiol.699	tig00000015	1475374	1475710	.	337	65431
cpalmiol.700	tig00000015	1476102	1476603	.	502	16272
cpalmiol.701	tig00000015	1479181	1480811	.	1631	1913
cpalmiol.702	tig00000015	1481633	1482294	+	662	38281
cpalmiol.703	tig00000015	1484900	1485895	.	996	7705
cpalmiol.704	tig00000015	1486805	1490913	.	4109	4491
cpalmiol.705	tig00000015	1491372	1491882	.	511	1364
cpalmiol.706	tig00000015	1492339	1493435	.	1097	7016
cpalmiol.707	tig00000015	1493535	1502158	.	8624	4536
cpalmiol.708	tig00000015	1502705	1504260	.	1556	77743
cpalmiol.709	tig00000015	1505672	1507452	.	1781	24072
cpalmiol.710	tig00000015	1510808	1511602	-	795	50119
cpalmiol.711	tig00000015	1512186	1522772	.	10587	35476
cpalmiol.712	tig00000015	1528810	1553130	-	24321	72612
cpalmiol.713	tig00000015	1541575	1545567	.	3993	52300
cpalmiol.714	tig00000015	1554643	1556096	+	1454	13601
cpalmiol.715	tig00000015	1556430	1557749	-	1320	3903
cpalmiol.716	tig00000015	1558084	1561431	.	3348	13453
cpalmiol.717	tig00000015	1561679	1570596	.	8918	20811
cpalmiol.718	tig00000015	1570826	1581210	.	10385	32502
cpalmiol.719	tig00000015	1581481	1581920	.	440	4636
cpalmiol.720	tig00000015	1586027	1588778	.	2752	8980
cpalmiol.721	tig00000015	1591191	1593710	.	2520	14398
cpalmiol.722	tig00000015	1594295	1600866	.	6572	12843
cpalmiol.723	tig00000015	1604895	1609007	.	4113	8777
cpalmiol.724	tig00000015	1609465	1612123	+	2659	7695
cpalmiol.725	tig00000015	1617380	1618402	.	1023	4405
cpalmiol.726	tig00000015	1621097	1626706	.	5610	16001
cpalmiol.727	tig00000015	1628178	1630217	.	2040	12347
cpalmiol.728	tig00000015	1630371	1630611	.	241	95
cpalmiol.729	tig00000015	1632239	1633975	.	1737	12878
cpalmiol.730	tig00000015	1635074	1639675	.	4602	14971
cpalmiol.731	tig00000015	1642086	1644473	.	2388	6454
cpalmiol.732	tig00000015	1645367	1652547	.	7181	7195
cpalmiol.733	tig00000015	1655473	1657550	+	2078	3527
cpalmiol.734	tig00000015	1658792	1659450	-	659	239
cpalmiol.735	tig00000015	1659853	1660410	.	558	2104
cpalmiol.736	tig00000015	1660705	1661618	+	914	35496
cpalmiol.737	tig00000015	1661924	1670199	.	8276	9395
cpalmiol.738	tig00000015	1663273	1664471	-	1199	3687
cpalmiol.739	tig00000015	1670359	1672838	+	2480	10385
cpalmiol.740	tig00000015	1680897	1696825	-	15929	23470
cpalmiol.741	tig00000015	1703227	1703905	.	679	6105
cpalmiol.742	tig00000015	1704810	1706020	.	1211	2141
cpalmiol.743	tig00000015	1711163	1723120	.	11958	12989
cpalmiol.744	tig00000015	1727438	1728868	.	1431	6771
cpalmiol.745	tig00000015	1732673	1734003	.	1331	175061
cpalmiol.746	tig00000015	1736455	1746805	.	10351	22211
cpalmiol.747	tig00000015	1755153	1756985	.	1833	33823
cpalmiol.748	tig00000015	1757188	1760432	.	3245	11398
cpalmiol.749	tig00000015	1764227	1766282	.	2056	9202
cpalmiol.750	tig00000015	1768932	1769408	.	477	1188
cpalmiol.751	tig00000015	1769873	1771025	.	1153	5782
cpalmiol.752	tig00000015	1771650	1772316	.	667	62062
cpalmiol.753	tig00000015	1774924	1778037	.	3114	6795
cpalmiol.754	tig00000015	1778331	1782719	.	4389	8803
cpalmiol.755	tig00000015	1783198	1785495	.	2298	2680
cpalmiol.756	tig00000015	1786252	1787408	.	1157	11847
cpalmiol.757	tig00000015	1790258	1791871	.	1614	4707
cpalmiol.758	tig00000015	1798427	1799733	.	1307	95680
cpalmiol.759	tig00000015	1801891	1805171	.	3281	4829
cpalmiol.760	tig00000015	1806028	1812036	.	6009	10764
cpalmiol.761	tig00000015	1812246	1814542	.	2297	4587
cpalmiol.762	tig00000015	1824396	1828205	.	3810	83219
cpalmiol.763	tig00000015	1830102	1830352	.	251	15180
cpalmiol.764	tig00000015	1831977	1834020	.	2044	1885
cpalmiol.765	tig00000015	1835227	1850153	.	14927	59885
cpalmiol.766	tig00000015	1850667	1855185	+	4519	13015
cpalmiol.767	tig00000015;tig00000015;tig00000015;tig00000015;tig00000015;tig00000015;tig00000015;tig00000015;tig00000015;tig00000015;tig00000015	1858474;1858474;1858474;1858474;1858474;1858474;1858474;1858474;1858474;1858474;1858474	1874109;1874109;1874109;1874109;1874109;1874109;1874109;1874109;1874109;1862230;1874109	+;+;+;+;+;+;+;+;+;+;+	15636	4288
cpalmiol.768	tig00000015	1874684	1876374	.	1691	21349
cpalmiol.769	tig00000015	1878988	1885104	.	6117	21080
cpalmiol.770	tig00000015	1885841	1886442	.	602	1578
cpalmiol.771	tig00000015	1887159	1888925	.	1767	11171
cpalmiol.772	tig00000015	1889279	1892304	.	3026	16295
cpalmiol.773	tig00000015	1892596	1893972	.	1377	46126
cpalmiol.774	tig00000015	1901201	1905805	.	4605	14128
cpalmiol.775	tig00000015	1906777	1908862	.	2086	9160
cpalmiol.776	tig00000015	1909079	1914465	.	5387	6661
cpalmiol.777	tig00000015	1923073	1925242	.	2170	143834
cpalmiol.778	tig00000015	1925617	1926392	.	776	39012
cpalmiol.779	tig00000015	1932425	1933428	.	1004	122168
cpalmiol.780	tig00000015	1935495	1938936	.	3442	41027
cpalmiol.781	tig00000015	1939088	1940023	.	936	201
cpalmiol.782	tig00000015	1941197	1944631	.	3435	21012
cpalmiol.783	tig00000015	1945496	1945954	.	459	62
cpalmiol.784	tig00000015	1946432	1947887	.	1456	6453
cpalmiol.785	tig00000015	1948540	1951140	.	2601	46334
cpalmiol.786	tig00000015	1956871	1957874	+	1004	6348
cpalmiol.787	tig00000015	1958213	1973475	.	15263	13495
cpalmiol.788	tig00000015	1974567	1975740	.	1174	1680
cpalmiol.789	tig00000015	1979071	1981972	.	2902	20543
cpalmiol.790	tig00000015	1982739	1986135	.	3397	36744
cpalmiol.791	tig00000015	1987639	1991455	.	3817	22142
cpalmiol.792	tig00000015	1997947	2005815	.	7869	31768
cpalmiol.793	tig00000015	2009588	2012150	.	2563	26319
cpalmiol.794	tig00000015	2012305	2023143	.	10839	24787
cpalmiol.795	tig00000015	2023347	2023832	.	486	68
cpalmiol.796	tig00000015	2024118	2027633	.	3516	1496
cpalmiol.797	tig00000015	2028122	2030179	.	2058	18710
cpalmiol.798	tig00000015	2030981	2032392	.	1412	5777
cpalmiol.799	tig00000015	2034353	2043043	.	8691	16548
cpalmiol.800	tig00000015	2043411	2051784	.	8374	17770
cpalmiol.801	tig00000015	2052525	2055908	.	3384	29865
cpalmiol.802	tig00000015	2052575	2055908	-	3334	29865
cpalmiol.803	tig00000015	2056398	2063133	.	6736	8986
cpalmiol.804	tig00000015	2063565	2067950	.	4386	2110
cpalmiol.805	tig00000015	2068560	2069472	.	913	942
cpalmiol.806	tig00000015	2069697	2071095	-	1399	3777
cpalmiol.807	tig00000015	2072906	2074676	.	1771	509671
cpalmiol.808	tig00000015	2074913	2079799	.	4887	6740
cpalmiol.809	tig00000015	2080267	2082362	.	2096	242
cpalmiol.810	tig00000015	2086218	2090818	.	4601	9392
cpalmiol.811	tig00000015	2091891	2094726	.	2836	22407
cpalmiol.812	tig00000022	2124623	2125652	.	1030	91
cpalmiol.813	tig00000022	1812	2824	.	1013	91
cpalmiol.814	tig00000022	3110	3903	.	794	46
cpalmiol.815	tig00000022	4258	7444	.	3187	36244
cpalmiol.816	tig00000022	12109	12468	.	360	311288
cpalmiol.817	tig00000022	12800	13211	.	412	52286
cpalmiol.818	tig00000022	14802	15585	.	784	188345
cpalmiol.819	tig00000022	15957	20443	.	4487	110228
cpalmiol.820	tig00000022	20596	21950	.	1355	2985
cpalmiol.821	tig00000022	22286	31500	.	9215	27396
cpalmiol.822	tig00000022	31631	46223	.	14593	78670
cpalmiol.823	tig00000022	48282	50705	.	2424	155
cpalmiol.824	tig00000022	51154	52854	.	1701	15779
cpalmiol.825	tig00000022	54201	56490	.	2290	6482
cpalmiol.826	tig00000022	56768	58572	-	1805	51098
cpalmiol.827	tig00000022	66476	66850	.	375	8596
cpalmiol.828	tig00000022	68065	69153	.	1089	61955
cpalmiol.829	tig00000022	69928	79816	.	9889	21080
cpalmiol.830	tig00000022	80924	81726	-	803	54280
cpalmiol.831	tig00000022	82001	83074	.	1074	18715
cpalmiol.832	tig00000022	83317	88158	+	4842	6676
cpalmiol.833	tig00000022	89104	95719	.	6616	3710
cpalmiol.834	tig00000022	96592	98439	.	1848	31623
cpalmiol.835	tig00000022	98697	99721	.	1025	16396
cpalmiol.836	tig00000022	99975	100803	.	829	8449
cpalmiol.837	tig00000022	106000	107088	.	1089	9183
cpalmiol.838	tig00000022	109065	110986	.	1922	33574
cpalmiol.839	tig00000022	111220	112597	.	1378	12864
cpalmiol.840	tig00000022	113432	116387	.	2956	26646
cpalmiol.841	tig00000022	119481	125265	.	5785	8414
cpalmiol.842	tig00000022	125891	127691	.	1801	313
cpalmiol.843	tig00000022	128717	134280	.	5564	49368
cpalmiol.844	tig00000022	135603	136333	.	731	128040
cpalmiol.845	tig00000022	137268	137944	.	677	2542
cpalmiol.846	tig00000022	138255	139283	.	1029	698
cpalmiol.847	tig00000022	139571	141978	+	2408	8532
cpalmiol.848	tig00000022	142557	151111	+	8555	50854
cpalmiol.849	tig00000022	151378	156311	.	4934	8668
cpalmiol.850	tig00000022	164705	165928	+	1224	16167
cpalmiol.851	tig00000022	167879	171082	.	3204	12886
cpalmiol.852	tig00000022	171977	172813	.	837	12792
cpalmiol.853	tig00000022	181864	185547	+	3684	9716
cpalmiol.854	tig00000022	192500	196196	.	3697	5514
cpalmiol.855	tig00000022	197248	202525	.	5278	6323
cpalmiol.856	tig00000022	202810	203650	.	841	127
cpalmiol.857	tig00000022	203897	207157	.	3261	12897
cpalmiol.858	tig00000022	210786	213088	.	2303	11948
cpalmiol.859	tig00000022	214128	215565	+	1438	8210
cpalmiol.860	tig00000022	216341	217144	+	804	135011
cpalmiol.861	tig00000022	223238	224908	.	1671	7206
cpalmiol.862	tig00000022	224967	236776	.	11810	39493
cpalmiol.863	tig00000022	237382	237946	.	565	55482
cpalmiol.864	tig00000022	238266	238875	+	610	131
cpalmiol.865	tig00000022	239779	240373	-	595	9151
cpalmiol.866	tig00000022	240604	245921	-	5318	2390
cpalmiol.867	tig00000022	247427	249976	.	2550	14198
cpalmiol.868	tig00000022	250383	251061	.	679	116705
cpalmiol.869	tig00000022	251717	252499	.	783	30073
cpalmiol.870	tig00000022	253178	259839	.	6662	24328
cpalmiol.871	tig00000022	260007	260348	.	342	69
cpalmiol.872	tig00000022	260870	263635	.	2766	5523
cpalmiol.873	tig00000022	263879	270603	.	6725	9592
cpalmiol.874	tig00000022	272112	273955	.	1844	6237
cpalmiol.875	tig00000022	276237	278670	.	2434	2864
cpalmiol.876	tig00000022	281682	282493	.	812	1391
cpalmiol.877	tig00000022	282806	288550	.	5745	3475
cpalmiol.878	tig00000022	289748	295299	.	5552	24290
cpalmiol.879	tig00000022	297548	298649	.	1102	239503
cpalmiol.880	tig00000022	302282	304032	.	1751	41132
cpalmiol.881	tig00000022	309941	312329	.	2389	13321
cpalmiol.882	tig00000022	312692	316987	.	4296	3532
cpalmiol.883	tig00000022	321709	325200	+	3492	2088
cpalmiol.884	tig00000022	325880	327314	.	1435	786
cpalmiol.885	tig00000022	327486	329035	.	1550	13290
cpalmiol.886	tig00000022	329666	330564	.	899	936
cpalmiol.887	tig00000022	331236	333241	.	2006	5258
cpalmiol.888	tig00000022	333639	334556	.	918	6276
cpalmiol.889	tig00000022	342017	345054	.	3038	11182
cpalmiol.890	tig00000022	345793	346461	.	669	2783
cpalmiol.891	tig00000022	346694	349284	.	2591	9106
cpalmiol.892	tig00000022	352175	355966	.	3792	7618
cpalmiol.893	tig00000022	359747	367263	-	7517	52964
cpalmiol.894	tig00000022	365858	367263	.	1406	40553
cpalmiol.895	tig00000022	367429	382458	.	15030	33522
cpalmiol.896	tig00000022	386751	388169	.	1419	19984
cpalmiol.897	tig00000022	390509	391921	.	1413	14729
cpalmiol.898	tig00000022	392557	395760	.	3204	24315
cpalmiol.899	tig00000022	396248	397718	-	1471	1875
cpalmiol.900	tig00000022	400661	409182	.	8522	4974
cpalmiol.901	tig00000022	409292	418285	.	8994	8411
cpalmiol.902	tig00000022	418675	419207	.	533	3429
cpalmiol.903	tig00000022	419415	424293	.	4879	9612
cpalmiol.904	tig00000022	429815	432336	.	2522	6354
cpalmiol.905	tig00000022	433942	436614	.	2673	14110
cpalmiol.906	tig00000022	437285	437942	.	658	22512
cpalmiol.907	tig00000022	438971	441402	.	2432	5527
cpalmiol.908	tig00000022	443578	449958	.	6381	417
cpalmiol.909	tig00000022	452237	455172	.	2936	6792
cpalmiol.910	tig00000022	455547	456759	.	1213	2882
cpalmiol.911	tig00000022	457088	459815	.	2728	7655
cpalmiol.912	tig00000022	460377	463239	.	2863	7359
cpalmiol.913	tig00000022	463977	465043	.	1067	59390
